date,Temperature_Max,Dew_Point_Max,Humidity_Max,Pressure_Max
5/22/2008,104,30,14,29.92
5/23/2008,107,32,14,29.86
5/24/2008,109,30,14,29.83
5/25/2008,111,30,13,29.8
5/26/2008,105,34,19,29.83
5/27/2008,107,36,14,29.86
5/28/2008,107,39,21,29.83
5/29/2008,109,39,19,29.77
5/30/2008,107,61,45,29.83
5/31/2008,104,43,23,29.89
6/1/2008,107,37,15,29.86
6/2/2008,111,32,15,29.83
6/3/2008,109,34,17,29.83
6/4/2008,107,28,10,29.92
6/5/2008,107,28,13,29.89
6/6/2008,104,34,15,29.83
6/7/2008,105,32,13,29.77
6/8/2008,102,30,15,29.83
6/9/2008,100,34,18,29.86
6/10/2008,102,32,18,29.83
6/11/2008,104,30,16,29.8
6/12/2008,100,30,17,29.83
6/13/2008,102,30,16,29.86
6/14/2008,104,30,18,29.8
6/15/2008,104,28,13,29.74
6/16/2008,104,27,15,29.74
6/17/2008,102,28,14,29.74
6/18/2008,102,30,14,29.71
6/19/2008,105,28,14,29.71
6/20/2008,105,32,13,29.71
6/21/2008,105,27,12,29.77
6/22/2008,109,27,11,29.77
6/23/2008,111,27,14,29.77
6/24/2008,111,28,12,29.71
6/25/2008,107,34,16,29.74
6/26/2008,113,32,14,29.77
6/27/2008,113,30,12,29.77
6/28/2008,111,25,11,29.77
6/29/2008,109,28,9,29.68
6/30/2008,113,30,10,29.68
7/1/2008,109,34,14,29.74
7/2/2008,109,34,14,29.74
7/3/2008,109,37,17,29.74
7/4/2008,113,32,15,29.74
7/5/2008,111,30,12,29.71
7/6/2008,111,28,13,29.71
7/7/2008,107,28,14,29.68
7/8/2008,109,27,14,29.68
7/9/2008,109,30,16,29.74
7/10/2008,107,36,21,29.77
7/11/2008,109,27,12,29.77
7/12/2008,109,28,12,29.68
7/13/2008,111,27,13,29.74
7/14/2008,111,30,11,29.77
7/15/2008,111,32,11,29.77
7/16/2008,111,34,13,29.68
7/17/2008,113,36,16,29.65
7/18/2008,113,36,18,29.65
7/19/2008,111,30,12,29.68
7/20/2008,109,36,12,29.65
7/21/2008,109,43,14,29.71
7/22/2008,113,30,13,29.71
7/23/2008,111,36,12,29.62
7/24/2008,111,45,22,29.68
7/25/2008,113,52,29,29.71
7/26/2008,114,34,14,29.68
7/27/2008,114,32,13,29.65
7/28/2008,111,39,15,29.71
7/29/2008,109,36,18,29.71
7/30/2008,107,32,16,29.68
7/31/2008,109,34,15,29.68
8/1/2008,111,30,15,29.71
8/2/2008,113,36,13,29.68
8/3/2008,111,39,15,29.68
8/4/2008,109,36,13,29.68
8/5/2008,109,39,15,29.68
8/6/2008,109,48,18,29.68
8/7/2008,109,41,17,29.62
8/8/2008,111,45,23,29.65
8/9/2008,111,39,20,29.65
8/10/2008,109,37,17,29.65
8/11/2008,109,37,17,29.68
8/12/2008,111,36,16,29.65
8/13/2008,111,34,14,29.71
8/14/2008,107,34,14,29.74
8/15/2008,109,30,14,29.71
8/16/2008,107,28,14,29.68
8/17/2008,109,48,21,29.74
8/18/2008,107,61,35,29.8
8/19/2008,107,46,28,29.74
8/20/2008,111,34,13,29.83
8/21/2008,107,41,19,29.83
8/22/2008,109,41,21,29.77
8/23/2008,111,37,16,29.74
8/24/2008,107,43,28,29.8
8/25/2008,105,50,21,29.86
8/26/2008,107,41,21,29.89
8/27/2008,109,39,16,29.83
8/28/2008,109,34,20,29.8
8/29/2008,111,36,16,29.8
8/30/2008,113,36,11,29.8
8/31/2008,109,45,16,29.77
9/1/2008,111,45,21,29.8
9/2/2008,107,50,20,29.83
9/3/2008,105,64,51,29.83
9/4/2008,105,48,30,29.89
9/5/2008,105,41,20,29.89
9/6/2008,111,37,16,29.83
9/7/2008,111,36,17,29.8
9/8/2008,111,34,18,29.83
9/9/2008,111,36,14,29.83
9/10/2008,109,43,16,29.77
9/11/2008,107,63,36,29.8
9/12/2008,104,64,41,29.86
9/13/2008,104,46,32,29.92
9/14/2008,107,36,17,29.89
9/15/2008,102,37,21,29.89
9/16/2008,102,46,28,29.92
9/17/2008,105,41,22,29.86
9/18/2008,102,36,21,29.89
9/19/2008,102,34,19,29.89
9/20/2008,102,32,17,29.92
9/21/2008,102,32,20,29.95
9/22/2008,105,30,15,29.92
9/23/2008,105,30,16,29.89
9/24/2008,104,32,17,29.95
9/25/2008,104,39,24,29.95
9/26/2008,104,37,20,29.95
9/27/2008,98,52,41,29.98
9/28/2008,100,48,32,29.98
9/29/2008,98,46,27,30.04
9/30/2008,98,45,35,30.06
10/1/2008,98,43,31,30.06
10/2/2008,91,46,36,30.06
10/3/2008,93,36,30,30.09
10/4/2008,91,37,23,30.09
10/5/2008,91,34,30,30.09
10/6/2008,91,39,24,30.09
10/7/2008,93,43,31,30.06
10/8/2008,95,39,30,30.06
10/9/2008,95,37,23,30.06
10/10/2008,96,34,26,30.12
10/11/2008,96,30,23,30.12
10/12/2008,96,28,23,30.06
10/13/2008,95,36,24,30.12
10/14/2008,96,37,26,30.18
10/15/2008,96,34,26,30.18
10/16/2008,96,34,26,30.12
10/17/2008,95,32,23,30.09
10/18/2008,93,57,60,30.12
10/19/2008,93,52,52,30.15
10/20/2008,95,37,32,30.09
10/21/2008,91,37,34,30.04
10/22/2008,89,55,39,30.04
10/23/2008,89,66,65,30.04
10/24/2008,91,64,73,30.09
10/25/2008,87,61,57,30.06
10/26/2008,89,59,56,30.04
10/27/2008,89,57,64,30.04
10/28/2008,89,57,68,30.06
10/29/2008,93,54,47,29.98
10/30/2008,80,55,68,30.06
10/31/2008,78,52,60,30.15
11/1/2008,77,48,59,30.18
11/2/2008,69,59,94,30.21
11/3/2008,62,61,100,30.12
11/4/2008,64,63,100,30.21
11/5/2008,71,59,100,30.15
11/6/2008,71,57,88,30.06
11/7/2008,84,61,94,30.18
11/8/2008,73,57,100,30.27
11/9/2008,77,50,77,30.24
11/10/2008,78,48,77,30.18
11/11/2008,78,48,59,30.18
11/12/2008,78,52,77,30.18
11/13/2008,86,48,72,30.09
11/14/2008,86,46,59,30.09
11/15/2008,75,59,82,30.12
11/16/2008,73,54,82,30.21
11/17/2008,75,43,54,30.12
11/18/2008,78,43,59,30.18
11/19/2008,80,45,55,30.27
11/20/2008,80,43,63,30.27
11/21/2008,84,43,58,30.18
11/22/2008,82,37,54,30.09
11/23/2008,86,37,44,30.12
11/24/2008,86,45,52,30.18
11/25/2008,77,54,77,30.24
11/26/2008,77,45,63,30.21
11/27/2008,77,37,47,30.12
11/28/2008,77,36,41,30.06
11/29/2008,78,41,51,30.12
11/30/2008,73,39,37,30.15
12/1/2008,66,37,58,30.21
12/2/2008,73,37,66,30.18
12/3/2008,68,36,62,30.18
12/4/2008,68,32,53,30.21
12/5/2008,68,32,61,30.24
12/6/2008,68,36,53,30.33
12/7/2008,69,27,53,30.27
12/8/2008,71,23,52,30.18
12/9/2008,75,21,42,30.21
12/10/2008,78,19,39,30.21
12/11/2008,75,41,62,30.24
12/12/2008,68,41,76,30.24
12/13/2008,68,23,43,30.18
12/14/2008,77,32,40,30.12
12/15/2008,69,39,58,30.15
12/16/2008,68,30,46,30.12
12/17/2008,57,30,57,30.21
12/18/2008,60,9,32,30.3
12/19/2008,62,7,32,30.33
12/20/2008,62,10,41,30.33
12/21/2008,68,12,31,30.27
12/22/2008,71,23,30,30.21
12/23/2008,75,30,50,30.18
12/24/2008,80,37,53,30.12
12/25/2008,71,46,72,30.18
12/26/2008,71,55,100,30.18
12/27/2008,69,39,76,30.18
12/28/2008,66,41,66,30.15
12/29/2008,69,37,53,30.15
12/30/2008,71,37,54,30.18
12/31/2008,78,39,54,30.12
1/1/2009,82,45,51,30.06
1/2/2009,57,43,87,30.27
1/3/2009,53,30,61,30.36
1/4/2009,57,16,36,30.3
1/5/2009,64,16,31,30.24
1/6/2009,64,23,49,30.21
1/7/2009,77,28,30,30.12
1/8/2009,66,39,50,30.21
1/9/2009,66,37,57,30.27
1/10/2009,66,41,66,30.18
1/11/2009,64,46,76,30.24
1/12/2009,68,41,66,30.24
1/13/2009,57,36,81,30.36
1/14/2009,55,23,49,30.45
1/15/2009,60,23,60,30.45
1/16/2009,60,19,60,30.39
1/17/2009,64,18,44,30.3
1/18/2009,66,16,29,30.12
1/19/2009,66,41,71,30.12
1/20/2009,66,27,42,30.15
1/21/2009,68,30,56,30.24
1/22/2009,77,34,57,30.24
1/23/2009,62,34,61,30.12
1/24/2009,59,14,41,30.12
1/25/2009,77,45,46,30.09
1/26/2009,77,37,53,30.18
1/27/2009,82,43,47,30.12
1/28/2009,75,41,66,30.18
1/29/2009,75,39,50,30.15
1/30/2009,84,39,48,30.04
1/31/2009,84,37,38,30.01
2/1/2009,80,46,34,30.15
2/2/2009,68,27,40,30.3
2/3/2009,69,30,49,30.3
2/4/2009,69,39,49,30.3
2/5/2009,73,32,50,30.27
2/6/2009,69,41,44,30.15
2/7/2009,69,48,72,30.09
2/8/2009,84,41,47,30.18
2/9/2009,78,39,51,30.24
2/10/2009,87,41,51,30.12
2/11/2009,75,43,43,30.12
2/12/2009,69,28,40,30.24
2/13/2009,71,27,46,30.18
2/14/2009,77,27,33,30.06
2/15/2009,84,27,25,30.01
2/16/2009,86,30,33,30.01
2/17/2009,86,41,31,30.04
2/18/2009,69,32,36,30.18
2/19/2009,71,25,37,30.21
2/20/2009,73,30,43,30.12
2/21/2009,84,34,31,29.98
2/22/2009,69,32,36,30.01
2/23/2009,77,27,33,30.01
2/24/2009,80,37,39,30.04
2/25/2009,77,45,67,30.06
2/26/2009,80,41,51,30.01
2/27/2009,89,41,39,29.92
2/28/2009,78,43,31,29.98
3/1/2009,75,46,55,30.01
3/2/2009,68,32,50,30.18
3/3/2009,69,27,43,30.24
3/4/2009,73,28,38,30.15
3/5/2009,78,27,33,30.18
3/6/2009,77,28,35,30.24
3/7/2009,84,28,35,30.21
3/8/2009,84,28,33,30.15
3/9/2009,86,25,31,30.06
3/10/2009,82,43,40,30.12
3/11/2009,71,39,42,30.18
3/12/2009,82,32,35,30.15
3/13/2009,86,30,29,30.12
3/14/2009,91,28,29,30.04
3/15/2009,89,37,31,30.04
3/16/2009,91,45,46,29.95
3/17/2009,77,36,32,30.01
3/18/2009,78,32,32,30.06
3/19/2009,93,36,30,30.04
3/20/2009,87,27,19,30.06
3/21/2009,93,41,23,29.95
3/22/2009,84,41,31,29.92
3/23/2009,80,28,31,30.01
3/24/2009,87,36,20,29.92
3/25/2009,78,37,30,30.06
3/26/2009,71,43,67,30.15
3/27/2009,80,46,63,29.98
3/28/2009,78,61,77,29.95
3/29/2009,84,54,82,29.89
3/30/2009,68,50,72,29.89
3/31/2009,73,41,67,29.95
4/1/2009,80,28,43,30.04
4/2/2009,78,57,94,30.06
4/3/2009,62,59,94,30.04
4/4/2009,75,63,100,30.01
4/5/2009,84,59,94,30.12
4/6/2009,89,59,73,30.12
4/7/2009,89,48,59,30.12
4/8/2009,93,55,53,30.04
4/9/2009,89,64,88,29.95
4/10/2009,89,64,88,29.92
4/11/2009,87,61,78,29.95
4/12/2009,89,59,83,29.92
4/13/2009,91,57,77,30.01
4/14/2009,84,43,40,30.04
4/15/2009,93,36,34,30.01
4/16/2009,93,37,24,29.86
4/17/2009,87,36,27,29.92
4/18/2009,87,30,30,30.01
4/19/2009,95,37,32,30.04
4/20/2009,93,36,27,30.04
4/21/2009,87,37,37,30.06
4/22/2009,91,32,30,30.04
4/23/2009,96,28,17,30.01
4/24/2009,104,30,15,30.01
4/25/2009,105,36,24,29.95
4/26/2009,105,43,25,29.98
4/27/2009,95,46,34,30.01
4/28/2009,96,45,34,30.01
4/29/2009,102,41,27,29.92
4/30/2009,105,39,26,29.86
5/1/2009,102,37,27,29.86
5/2/2009,96,30,16,30.06
5/3/2009,93,32,26,30.15
5/4/2009,96,30,19,30.09
5/5/2009,105,34,19,29.95
5/6/2009,104,34,17,29.95
5/7/2009,102,46,25,30.24
5/8/2009,104,45,36,29.95
5/9/2009,102,45,30,29.98
5/10/2009,105,43,28,29.89
5/11/2009,98,48,32,29.95
5/12/2009,95,48,46,30.04
5/13/2009,98,52,39,30.04
5/14/2009,98,48,34,29.98
5/15/2009,100,57,50,29.95
5/16/2009,98,63,65,30.01
5/17/2009,96,61,65,30.04
5/18/2009,98,61,51,30.01
5/19/2009,102,41,26,30.01
5/20/2009,105,37,19,29.92
5/21/2009,107,36,18,29.86
5/22/2009,107,34,15,29.95
5/23/2009,107,30,13,29.92
5/24/2009,109,32,15,29.83
5/25/2009,111,27,14,29.74
5/26/2009,111,30,15,29.68
5/27/2009,111,37,16,29.74
5/28/2009,113,28,16,29.8
5/29/2009,113,28,12,29.86
5/30/2009,109,34,16,29.89
5/31/2009,104,25,11,29.89
6/1/2009,104,25,12,29.86
6/2/2009,102,25,12,29.86
6/3/2009,104,28,14,29.89
6/4/2009,105,28,14,29.95
6/5/2009,107,28,17,29.86
6/6/2009,107,30,12,29.83
6/7/2009,100,34,15,29.86
6/8/2009,104,32,14,29.86
6/9/2009,105,32,16,29.92
6/10/2009,109,36,17,29.89
6/11/2009,111,37,15,29.8
6/12/2009,111,37,14,29.8
6/13/2009,111,36,12,29.86
6/14/2009,109,37,15,29.89
6/15/2009,107,43,18,29.89
6/16/2009,107,37,14,29.83
6/17/2009,111,39,19,29.77
6/18/2009,111,37,13,29.8
6/19/2009,109,46,21,29.86
6/20/2009,105,39,17,29.86
6/21/2009,107,34,15,29.86
6/22/2009,105,30,14,29.83
6/23/2009,109,32,14,29.8
6/24/2009,105,34,15,29.8
6/25/2009,111,34,15,29.8
6/26/2009,109,34,14,29.98
6/27/2009,109,27,14,29.77
6/28/2009,109,28,12,29.74
6/29/2009,107,36,19,29.83
6/30/2009,109,34,14,29.83
7/1/2009,107,30,11,29.8
7/2/2009,113,28,9,29.74
7/3/2009,111,30,13,29.71
7/4/2009,111,32,13,29.68
7/5/2009,109,34,14,29.68
7/6/2009,105,48,16,29.74
7/7/2009,105,46,24,29.77
7/8/2009,104,45,25,29.77
7/9/2009,105,50,57,29.74
7/10/2009,109,46,28,29.74
7/11/2009,109,48,28,29.74
7/12/2009,111,41,23,29.74
7/13/2009,111,43,25,29.74
7/14/2009,107,41,20,29.74
7/15/2009,107,46,24,29.74
7/16/2009,105,52,20,29.71
7/17/2009,105,48,27,29.71
7/18/2009,107,46,28,29.71
7/19/2009,107,45,26,29.77
7/20/2009,109,43,25,29.77
7/21/2009,107,45,25,29.77
7/22/2009,109,54,32,29.74
7/23/2009,109,55,23,29.71
7/24/2009,111,45,20,30.04
7/25/2009,109,45,25,29.74
7/26/2009,109,50,26,29.77
7/27/2009,109,55,27,29.74
7/28/2009,111,52,28,29.71
7/29/2009,109,43,22,29.71
7/30/2009,107,48,20,29.77
7/31/2009,109,48,24,29.77
8/1/2009,107,52,30,29.77
8/2/2009,107,52,30,29.8
8/3/2009,105,50,30,29.86
8/4/2009,109,45,23,29.8
8/5/2009,109,46,23,29.77
8/6/2009,111,46,26,29.74
8/7/2009,111,52,28,29.74
8/8/2009,111,50,25,29.74
8/9/2009,111,46,24,29.74
8/10/2009,113,48,25,29.71
8/11/2009,107,52,27,29.8
8/12/2009,107,52,35,29.83
8/13/2009,107,52,30,29.8
8/14/2009,107,50,30,29.8
8/15/2009,107,45,25,29.83
8/16/2009,109,54,29,29.77
8/17/2009,107,54,30,29.77
8/18/2009,111,50,30,29.8
8/19/2009,107,48,22,29.8
8/20/2009,107,66,37,29.8
8/21/2009,111,66,40,29.77
8/22/2009,109,61,42,29.77
8/23/2009,109,72,40,29.74
8/24/2009,111,55,29,29.77
8/25/2009,111,54,25,29.8
8/26/2009,109,55,37,29.86
8/27/2009,111,52,32,29.8
8/28/2009,107,54,35,29.83
8/29/2009,109,54,32,29.89
8/30/2009,109,55,31,29.86
8/31/2009,107,46,28,29.86
9/1/2009,104,50,32,29.89
9/2/2009,107,52,31,29.86
9/3/2009,105,50,30,29.83
9/4/2009,109,54,32,29.86
9/5/2009,109,54,33,29.86
9/6/2009,109,52,32,29.77
9/7/2009,109,50,24,29.74
9/8/2009,107,48,25,29.89
9/9/2009,104,61,45,29.92
9/10/2009,104,50,28,29.92
9/11/2009,104,54,28,29.86
9/12/2009,104,45,28,29.95
9/13/2009,104,50,34,29.98
9/14/2009,107,55,34,30.01
9/15/2009,107,55,32,29.95
9/16/2009,107,50,36,29.86
9/17/2009,107,54,39,29.86
9/18/2009,107,57,50,29.89
9/19/2009,107,50,27,29.92
9/20/2009,107,54,32,29.89
9/21/2009,102,52,28,30.04
9/22/2009,100,57,42,30.04
9/23/2009,104,55,39,29.98
9/24/2009,102,50,28,29.95
9/25/2009,100,50,30,30.01
9/26/2009,98,52,44,30.04
9/27/2009,102,54,36,29.98
9/28/2009,100,50,34,29.95
9/29/2009,102,45,31,29.98
9/30/2009,102,50,29,29.98
10/1/2009,104,50,38,29.98
10/2/2009,102,52,41,30.01
10/3/2009,98,50,41,30.04
10/4/2009,95,43,31,30.04
10/5/2009,95,32,26,29.98
10/6/2009,95,39,26,29.98
10/7/2009,93,48,37,29.95
10/8/2009,95,57,49,29.98
10/9/2009,95,46,37,29.98
10/10/2009,96,45,35,29.98
10/11/2009,95,45,33,30.04
10/12/2009,93,48,38,30.09
10/13/2009,95,50,46,30.09
10/14/2009,96,46,38,30.12
10/15/2009,93,43,33,30.15
10/16/2009,91,46,40,30.15
10/17/2009,95,43,40,30.09
10/18/2009,95,41,40,30.06
10/19/2009,93,45,35,30.06
10/20/2009,95,46,37,30.12
10/21/2009,95,43,39,30.09
10/22/2009,95,45,39,30.09
10/23/2009,95,45,37,30.12
10/24/2009,89,41,35,30.04
10/25/2009,89,41,35,30.01
10/26/2009,93,43,35,30.06
10/27/2009,93,52,40,30.09
10/28/2009,93,46,43,30.04
10/29/2009,91,45,40,30.04
10/30/2009,89,43,37,30.09
10/31/2009,87,45,42,30.09
11/1/2009,87,48,49,30.06
11/2/2009,93,50,52,30.04
11/3/2009,93,50,43,30.06
11/4/2009,84,55,53,30.18
11/5/2009,87,66,88,30.18
11/6/2009,89,61,73,30.15
11/7/2009,89,54,56,30.15
11/8/2009,91,50,48,30.12
11/9/2009,91,48,52,30.12
11/10/2009,91,45,45,30.01
11/11/2009,93,45,45,29.92
11/12/2009,84,55,68,30.01
11/13/2009,86,50,63,30.06
11/14/2009,87,50,63,30.06
11/15/2009,84,46,63,30.09
11/16/2009,82,45,63,30.09
11/17/2009,84,43,51,30.01
11/18/2009,80,45,48,30.04
11/19/2009,73,43,59,30.18
11/20/2009,71,48,63,30.27
11/21/2009,77,52,64,30.18
11/22/2009,71,55,82,30.18
11/23/2009,68,52,88,30.24
11/24/2009,73,48,72,30.21
11/25/2009,78,50,52,30.09
11/26/2009,86,52,52,30.06
11/27/2009,82,59,83,30.09
11/28/2009,71,61,94,30.15
11/29/2009,64,52,100,30.24
11/30/2009,66,46,87,30.27
12/1/2009,69,43,63,30.27
12/2/2009,64,43,59,30.24
12/3/2009,62,48,77,30.21
12/4/2009,66,59,94,30.21
12/5/2009,75,59,100,30.09
12/6/2009,80,59,88,30.01
12/7/2009,82,63,94,29.92
12/8/2009,73,63,94,30.04
12/9/2009,66,48,82,30.15
12/10/2009,62,50,87,30.15
12/11/2009,69,50,77,30.06
12/12/2009,69,61,94,30.06
12/13/2009,71,61,100,30.15
12/14/2009,66,50,93,30.21
12/15/2009,68,46,87,30.24
12/16/2009,71,46,82,30.21
12/17/2009,78,52,59,30.12
12/18/2009,78,55,72,30.09
12/19/2009,69,39,66,30.24
12/20/2009,69,41,71,30.33
12/21/2009,73,45,76,30.3
12/22/2009,71,43,71,30.21
12/23/2009,69,41,58,30.09
12/24/2009,69,48,72,30.15
12/25/2009,71,50,87,30.24
12/26/2009,69,52,88,30.21
12/27/2009,73,48,82,30.15
12/28/2009,73,43,76,30.15
12/29/2009,73,48,81,30.15
12/30/2009,78,46,72,30.06
12/31/2009,71,48,67,30.04
1/1/2010,68,48,82,30.18
1/2/2010,69,39,71,30.24
1/3/2010,75,43,70,30.27
1/4/2010,77,39,66,30.24
1/5/2010,75,39,57,30.18
1/6/2010,73,36,49,30.18
1/7/2010,68,41,81,30.24
1/8/2010,69,36,71,30.27
1/9/2010,71,37,62,30.27
1/10/2010,71,34,65,30.24
1/11/2010,69,36,61,30.27
1/12/2010,69,37,61,30.3
1/13/2010,71,39,71,30.21
1/14/2010,77,36,54,30.24
1/15/2010,75,39,57,30.27
1/16/2010,73,41,71,30.3
1/17/2010,75,39,66,30.33
1/18/2010,73,36,62,30.24
1/19/2010,77,41,45,30.12
1/20/2010,75,48,58,30.09
1/21/2010,78,50,63,30.15
1/22/2010,69,48,72,30.24
1/23/2010,71,46,82,30.24
1/24/2010,78,48,63,30.12
1/25/2010,78,48,59,30.09
1/26/2010,66,36,62,30.24
1/27/2010,66,36,62,30.27
1/28/2010,64,36,62,30.27
1/29/2010,77,41,54,30.12
1/30/2010,80,46,62,30.24
1/31/2010,82,45,66,30.21
2/1/2010,87,50,63,30.09
2/2/2010,82,54,72,30.06
2/3/2010,87,39,39,29.92
2/4/2010,77,52,59,30.01
2/5/2010,60,37,62,30.12
2/6/2010,66,34,50,30.04
2/7/2010,57,36,71,30.27
2/8/2010,60,27,48,30.27
2/9/2010,69,28,52,30.15
2/10/2010,80,41,44,30.06
2/11/2010,77,39,50,30.18
2/12/2010,77,46,76,30.21
2/13/2010,80,41,58,30.21
2/14/2010,84,45,54,30.18
2/15/2010,86,43,51,30.15
2/16/2010,87,46,55,30.18
2/17/2010,87,45,71,30.24
2/18/2010,87,45,48,30.21
2/19/2010,87,39,48,30.09
2/20/2010,84,41,40,30.06
2/21/2010,82,43,45,30.15
2/22/2010,89,39,41,30.06
2/23/2010,89,48,40,30.04
2/24/2010,82,54,77,29.95
2/25/2010,78,54,82,29.83
2/26/2010,86,50,59,29.86
2/27/2010,78,46,45,30.01
2/28/2010,78,45,63,30.09
3/1/2010,84,46,34,30.01
3/2/2010,77,43,55,30.09
3/3/2010,77,43,54,30.15
3/4/2010,86,39,51,30.09
3/5/2010,77,41,55,30.18
3/6/2010,86,43,47,30.18
3/7/2010,91,45,47,30.21
3/8/2010,102,45,37,30.24
3/9/2010,87,46,45,30.27
3/10/2010,93,46,39,30.27
3/11/2010,91,46,44,30.21
3/12/2010,91,45,39,30.24
3/13/2010,91,45,39,30.18
3/14/2010,93,39,38,30.12
3/15/2010,95,45,36,30.09
3/16/2010,96,45,34,30.04
3/17/2010,98,41,32,30.04
3/18/2010,95,37,30,30.04
3/19/2010,78,36,27,30.12
3/20/2010,80,36,33,30.18
3/21/2010,73,32,38,30.21
3/22/2010,78,32,34,30.18
3/23/2010,80,34,34,30.06
3/24/2010,84,37,32,30.04
3/25/2010,89,46,55,30.01
3/26/2010,93,63,69,29.92
3/27/2010,84,63,78,29.92
3/28/2010,86,43,52,30.04
3/29/2010,84,43,52,30.12
